topic,side,content
Should individuals sentenced to life in prison be allowed to choose death instead?,unknown,The prison system would benefit from allowing inmates to choose death.
Should individuals sentenced to life in prison be allowed to choose death instead?,pro,"3
Rehabilitation and, where appropriate, reintegration should be a central goal of prisons, and allowing people to choose death is contrary to that."
Should individuals sentenced to life in prison be allowed to choose death instead?,con,Criminals should be forced to live with the consequences of their crimes.
Is having police officers in schools a good idea?,unknown,Having police officers in schools is a good idea.
Is having police officers in schools a good idea?,unknown,"2
Having police officers in schools would save lives."
Is having police officers in schools a good idea?,unknown,"1
Having police officers in schools builds trust between the community and law enforcement."
Is having police officers in schools a good idea?,unknown,"7
Police officers in schools would force students to follow the rules."
Is having police officers in schools a good idea?,unknown,Police officers may intimidate or assault students.
Is having police officers in schools a good idea?,unknown,Having police officers in schools distracts children from learning.
Is having police officers in schools a good idea?,unknown,Having police officers in schools would require a great deal of money and other resources.
Is discipline necessary in education?,unknown,Teachers and parents must seek to educate disciplined children.
Is discipline necessary in education?,pro,"1
Discipline helps in structuring classroom activities and achieve learning goals.
Click to see the pros and cons below this claim."
Is discipline necessary in education?,unknown,Discipline and clear boundaries can have a positive influence on children's behavior.
Is discipline necessary in education?,pro,"Without discipline, children will not adapt to their environment properly."
Is discipline necessary in education?,unknown,"3
Being disciplined is a positive trait in life. Thus, it makes sense for adults to instill it in children."
Is discipline necessary in education?,unknown,"2
Certain types of disciplining can cause psychological harm."
Is discipline necessary in education?,unknown,"3
Disciplining children can sometimes be discriminatory."
Is discipline necessary in education?,unknown,Discipline oppresses children in such a way that they cannot express themselves.
Is discipline necessary in education?,unknown,Discipline kills creativity.
Should the state grant benefits linked to marriage?,unknown,The state should not grant any benefits linked to marriage.
Should the state grant benefits linked to marriage?,unknown,"6
Marriage is a private agreement in which the state has no business."
Should the state grant benefits linked to marriage?,unknown,"5
Marriage should be an expression of affection and a desire for common life between two individuals and not a way to exploit benefits, thus benefits ruin its meaning."
Should the state grant benefits linked to marriage?,unknown,These benefits discriminate unfairly against unmarried people.
Should the state grant benefits linked to marriage?,unknown,Marriage is a harmful institution and should not be supported by the state.
Should the state grant benefits linked to marriage?,unknown,Marriage was once the pillar of society. The state would be turning its back on tradition and stability by removing benefits linked to marriage.
Should the state grant benefits linked to marriage?,pro,These benefits will provide support to minority groups looking to get married.
Should the state grant benefits linked to marriage?,unknown,"Marriage allows for a more cohesive family unit, which the state should incentivise."
Is it unethical to use ad-blockers?,unknown,It is unethical to use ad-blockers.
Is it unethical to use ad-blockers?,unknown,"7
Running ad-blockers is equivalent to freeloading off of media publications because it blocks their revenue stream."
Is it unethical to use ad-blockers?,con,"2
Ads help ensure equity in access to internet services because the prevalence of advertising as a business practice means most Internet content is free."
Is it unethical to use ad-blockers?,unknown,"6
Advertising is one of the only mechanisms small companies have to compete against larger counterparts on the internet."
Is it unethical to use ad-blockers?,pro,"12
Running an ad blocker breaks the implicit contract that the user will view content as presented by the provider."
Is it unethical to use ad-blockers?,unknown,"8
There are means of avoiding ads online that are ethical."
Is it unethical to use ad-blockers?,unknown,"9
Blocking ads is a matter of security; online ads can spread malicious software and threaten cyber security."
Is it unethical to use ad-blockers?,pro,"Computer users should have the right to control what runs on their machines. This extends to the right to prevent third parties, such as publishers, running programs (i.e. ads) that the user finds undesirable."
Is it unethical to use ad-blockers?,unknown,Ads are an invasion of users' privacy.
Is it unethical to use ad-blockers?,unknown,"7
Advertising is psychologically damaging. Given this, it is perfectly moral to take whatever steps are necessary  to minimise its impact."
Is it unethical to use ad-blockers?,unknown,"7
Advertising creates harmful incentives for web publishers. Running blockers will help push them to adopt better business models."
Is it unethical to use ad-blockers?,unknown,"4
Ads are irritating and make the internet more difficult to navigate."
Is it unethical to use ad-blockers?,con,"4
There are analogous practices on all other forms of media that are not considered unethical. Ad blocking is no different."
Is Organic Farming Better Than Conventional Farming?,con,"14
Organic farming is better than conventional farming."
Is Organic Farming Better Than Conventional Farming?,con,The welfare for organic livestock is higher than for conventional livestock.
Is Organic Farming Better Than Conventional Farming?,con,"3
Organic farming is healthier for people than conventional farming."
Is Organic Farming Better Than Conventional Farming?,unknown,"5
Organic farming is better for the environment."
Is Organic Farming Better Than Conventional Farming?,con,Organic farming is economically more sound.
Is Organic Farming Better Than Conventional Farming?,pro,"1
Organically-grown produce tastes better than conventionally-grown."
Is Organic Farming Better Than Conventional Farming?,con,"12
The organic label is inconsistent and legally more complicated, as it is slightly arbitrary and subject to changes."
Is Organic Farming Better Than Conventional Farming?,unknown,"10
Organic farming cannot support the current population."
Is Organic Farming Better Than Conventional Farming?,con,"There are no certificates for organic food that allow for genetic editing which could make the food more sustainable (e.g. reduce land use), resistant (e.g. better withstand droughts) or healthy (e.g. raise micronutrient contents)."
Is Organic Farming Better Than Conventional Farming?,pro,"According to a study, certification of organic production is largely restricted to banning synthetic agrochemicals, resulting in limited benefits for biodiversity but high yield losses."
Is Organic Farming Better Than Conventional Farming?,con,"4
Organic farming is more complicated to grow, which may lead to inconsistencies in quality."
Is Organic Farming Better Than Conventional Farming?,con,"7
Conventional farming allows for more variation in food than organic practices."
Should all major political decisions be made via public referendum?,unknown,"3
All major political decisions should be made via public referendum."
Should all major political decisions be made via public referendum?,pro,Referendums foster a sense of inclusivity in democracy and make people feel part of the political process.
Should all major political decisions be made via public referendum?,unknown,People should have a right to vote on major policy decisions as these decisions will affect them directly.
Should all major political decisions be made via public referendum?,unknown,"4
Referendums can legitimize major political decisions."
Should all major political decisions be made via public referendum?,unknown,"7
Some major political decisions require specialised knowledge that the average citizen does not have."
Should all major political decisions be made via public referendum?,unknown,Referendums reduce complex issues to a binary yes or no choice.
Should all major political decisions be made via public referendum?,unknown,"Some major political decisions are in fact decisions about the rights of citizens, and should not be subject to a referendum."
Should all major political decisions be made via public referendum?,pro,Deciding whether a political decision is 'major' or not may become a politicised process.
Should all major political decisions be made via public referendum?,unknown,"26
Referendums can shine a spotlight on fringe movements."
Should unpaid internships be banned?,unknown,Unpaid internships should be banned.
Should unpaid internships be banned?,con,"4
It is unethical to employ people without economic compensation."
Should unpaid internships be banned?,unknown,Unpaid internships are a barrier to greater social equality in society.
Should unpaid internships be banned?,unknown,"2
Unpaid internships harm the job market globally."
Should unpaid internships be banned?,unknown,"4
Unpaid internships are difficult to regulate and monitor, often resulting in illegal practices."
Should unpaid internships be banned?,pro,"3
There are more effective methods to deal with the problems of unpaid internships than a ban."
Should unpaid internships be banned?,unknown,Unpaid internships can be seen as a form of long interview: they give employers a tool to assess and 'try' potential employees.
Should unpaid internships be banned?,unknown,Unpaid internships can pave the way for a good career.
Is the minimum wage good for the economy overall?,con,"7
The minimum wage is good for the economy."
Is the minimum wage good for the economy overall?,con,"3
A reasonable minimum wage has an average positive balance on economic output."
Is the minimum wage good for the economy overall?,pro,"The minimum wage protects workers from unethical businesses, who want to underpay their workers."
Is the minimum wage good for the economy overall?,pro,"3
Minimum wage drives technological development as it gets profitable to invest in technology if the cost of labor is above the poverty line."
Is the minimum wage good for the economy overall?,unknown,"7
The minimum wage increases people's standard of living."
Is the minimum wage good for the economy overall?,unknown,"6
Minimum wage laws harm the the least skilled workers by making it impossible for them to compete against more skilled workers, as it prevents them from working for less money."
Is the minimum wage good for the economy overall?,unknown,"1
Implementing a minimum wage increases inflation."
Is the minimum wage good for the economy overall?,unknown,"2
The minimum wage is unnecessary because the market determines a fair, equilibrium wage on its own."
Is the minimum wage good for the economy overall?,pro,"7
Minimum wage law is being used as the excuse to replace workers with machines since little organizational force opposes this replacement and machines are more profitable"
Is health care a human right?,con,"21
Health care should be considered a human right."
Is health care a human right?,unknown,Health care is necessary for people to live good and fulfilling lives.
Is health care a human right?,pro,Providing healthcare as a human right ensures citizens' access to life and obligates the state to provide it to all.
Is health care a human right?,con,"4
Health care does not fit within the confines of what defines a human right."
Is health care a human right?,con,Declaring healthcare as a human right is economically unfeasible.
Should There be a Universal Basic Income (UBI)?,pro,"46
Wealthy countries should provide citizens with a universal basic income (UBI)."
Should There be a Universal Basic Income (UBI)?,pro,"54
A UBI would improve the lives of many people."
Should There be a Universal Basic Income (UBI)?,unknown,"7
A UBI is the most effective and efficient wealth redistribution system."
Should There be a Universal Basic Income (UBI)?,unknown,"23
A UBI would reduce crime rates."
Should There be a Universal Basic Income (UBI)?,pro,"33
A UBI may erode the personal and societal incentives for financial responsibility, self-improvement, and hard work; at least for some people."
Should There be a Universal Basic Income (UBI)?,con,"49
UBIs would have negative economic effects on the countries that implement them."
Should There be a Universal Basic Income (UBI)?,pro,"7
Providing a UBI may create harmful political consequences."
Is There A Need For Testing on Lab Animals in Research?,unknown,There is a need for lab animals to be used in research.
Is There A Need For Testing on Lab Animals in Research?,unknown,Animal models are necessary for studying the fundamental working mechanisms of the body.
Is There A Need For Testing on Lab Animals in Research?,unknown,Animal testing has resulted in significant developments in medicine for humans and other animals.
Is There A Need For Testing on Lab Animals in Research?,unknown,It is unethical and immoral to use animals for testing.
Is There A Need For Testing on Lab Animals in Research?,unknown,"7
There are now better alternatives that eliminate the need for lab animals."
Should US Presidents Have the Power to Issue Pardons?,unknown,"17
US presidents should not have the power to issue pardons."
Should US Presidents Have the Power to Issue Pardons?,unknown,"4
Presidential pardons facilitate unethical behavior, including corruption and scandals."
Should US Presidents Have the Power to Issue Pardons?,con,"6
Presidential pardons are inconsistent with a democratic system of governance."
Should US Presidents Have the Power to Issue Pardons?,con,"6
Removing the executive pardon would eliminate a vital constitutional check and balance on the judicial branch."
Should US Presidents Have the Power to Issue Pardons?,unknown,"7
Presidential pardons have had no negative national impact to warrant revocation of this power."
Is the world of Harry Potter really the place to be?,unknown,"10
It would be better to live in the world of Harry Potter."
Is the world of Harry Potter really the place to be?,unknown,"11
Magic opens up new ways of experiencing life."
Is the world of Harry Potter really the place to be?,unknown,Magic has many practical uses that can increase the efficiency of day-to-day life.
Is the world of Harry Potter really the place to be?,unknown,The wizarding world is safer than the Muggle world.
Is the world of Harry Potter really the place to be?,unknown,"6
The wizarding world is authoritarian and oppressive."
Is the world of Harry Potter really the place to be?,unknown,"2
The magical education system is inadequate in preparing students for success."
Is the world of Harry Potter really the place to be?,unknown,"16
The wizarding world is socially regressive."
Is equality of outcome better than equality of opportunity?,unknown,"3
Equality of outcome is better than equality of opportunity."
Is equality of outcome better than equality of opportunity?,unknown,Equality of outcome ensures equal access to resources and opportunities.
Is equality of outcome better than equality of opportunity?,unknown,Equality of outcome fosters social cohesion.
Is equality of outcome better than equality of opportunity?,pro,Promoting equality of opportunity is more economically efficient.
Is equality of outcome better than equality of opportunity?,unknown,Equality of outcome undermines individual merit and effort.
Is “Wednesday” a better show than Stranger Things?,unknown,“Wednesday” is a better show than Stranger Things.
Is “Wednesday” a better show than Stranger Things?,unknown,The characters in the Wednesday universe are better than the characters in the Stranger Things universe.
Is “Wednesday” a better show than Stranger Things?,unknown,Wednesday has better viewership numbers than Stranger Things.
Is “Wednesday” a better show than Stranger Things?,unknown,"2
Stranger Things has garnered more critical acclaim than Wednesday."
Is “Wednesday” a better show than Stranger Things?,unknown,"Stranger Things is more engaging as a show than Wednesday, since it is grounded closer to reality."
Is “Wednesday” a better show than Stranger Things?,unknown,Stranger Things is more 'original' than Wednesday.
Is water wet?,unknown,"10
Water is wet."
Is water wet?,pro,Wet is an emergent property that describes the characteristics of a collection of water molecules.
Is water wet?,unknown,"7
This is an analytic a priori truth (true by definition)."
Is water wet?,unknown,"1
Everything water touches becomes wet."
Is water wet?,unknown,"Water is sometimes dry, so all water cannot be described as wet."
Is water wet?,pro,"5
Wetness is a property of experience rather than of water itself."
Is water wet?,unknown,"8
Anything that can be wet can also be dry. Since water cannot be dry, it cannot be wet."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"35
Society should not treat obesity as an acceptable lifestyle choice."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"Societal norms should be based upon fact, not illusion or ignorance. The fact is: obesity is a damaging and costly physical state. That does not mean that obese individuals should be shamed in any way, but instead that they should be, as much as possible, educated, offered resources, and encouraged to achieve a more healthful state to the degree that it is within their power. To treat obesity as normal is indirectly cruel and damaging to obese individuals."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,con,"The ""body acceptance"" or ""fat acceptance"" movement, while in itself a noble idea, has negative repercussions such as outright discouraging people from bettering their health conditions by losing weight."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"21
Obesity can have serious negative impacts on people's physical and mental wellbeing."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"Widespread societal agreement about obesity's unacceptability can help support policy changes that may prevent obesity, like scheduling more time for physical education in schools or taxing sugary drinks."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"12
Obesity creates negative externalities that harm society."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,Treating obesity as unacceptable works as a deterrent.
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,pro,"14
Obese people can cause a lot of problems for others in daily life."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,con,Obese people are considered disgusting by many.
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"11
Obese people are already discriminated against. Shaming them reinforces the underlying bias that leads to discrimination."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"1
Making it socially unacceptable to be obese will increase bullying of obese people."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"33
For many people, obesity is not a choice."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"16
All people who respect the interpersonal norms of society deserve to be treated, on an interpersonal level, equally by society."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"This would normalize societal shaming aimed against people's personal choices, making it more likely that society will begin to shame other behaviors and become more intrusive into individuals' lives."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"10
It would be better for society if we deferred to personal autonomy, as people would be better able to self-actualize and be the people they want to be."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"3
Acceptance of fat bodies is a valuable counterbalancing message to narratives of 'wellness' and 'thinspo' that are pervasive within society."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"5
Gluttony is the issue with which society should take exception. Indulging beyond the needs of nutrition can occur in all people, and would require more personal honesty and humility. Obesity is an outward appearance may be the result of a situation warranting compassion and kindness, not ridicule and shame."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,con,"2
At certain times in history, obesity was considered attractive, as it was a symbol of wealth and status. We should not assume that our current values are correct."
Should Society Treat Obesity as an Acceptable Lifestyle Choice?,unknown,"1
Being obese does not harm others."
Should All Drug Trial Participants Be Chosen By Lottery?,unknown,"8
All participants for drug trials that involve humans in the US should be chosen randomly from those in the population who meet the required characteristics of the study."
Should All Drug Trial Participants Be Chosen By Lottery?,pro,"3
Mandatory participation in drug tests would improve the quality and utility of medical trials."
Should All Drug Trial Participants Be Chosen By Lottery?,unknown,"25
In the status quo, people who take part in medical trials are those who need money, which is a dangerous form of coercion. This policy removes this coercive financial incentive in favour of a fair method: random chance."
Should All Drug Trial Participants Be Chosen By Lottery?,unknown,"3
This policy would make drug trials safer for participants."
Should All Drug Trial Participants Be Chosen By Lottery?,con,"3
The practice of randomly choosing is just and fair, as the inconvenience and potential dangers of the medical trials get distributed all over society from the bottom to the top."
Should All Drug Trial Participants Be Chosen By Lottery?,unknown,Forcing people to take drugs is a violation of human rights and civil liberties.
Should All Drug Trial Participants Be Chosen By Lottery?,con,"8
Since participation in many trials requires having a specific condition or meeting certain criteria, it will require a massive invasion of (currently private) medical records to find these people."
Should All Drug Trial Participants Be Chosen By Lottery?,unknown,This policy would agitate the public.
Should All Drug Trial Participants Be Chosen By Lottery?,unknown,"3
Randomly selecting participants for trials takes away the chance for those who want to have access to potential treatments before they are widely available to step forward and volunteer."
Should All Drug Trial Participants Be Chosen By Lottery?,unknown,This policy would create perverse incentives for people.
Should All Drug Trial Participants Be Chosen By Lottery?,con,"17
Drug tests often require a control group that are given placebos and no other form of treatment. It is extra-unethical to withhold treatments when participants are not freely consenting to the possibility."
Should All Drug Trial Participants Be Chosen By Lottery?,con,"6
Any possible benefits of this policy are outweighed by the massive economic costs it would cause."
Is Artificial Intelligence a threat to democratic governance?,unknown,"4
Artificial Intelligence tools will be more detrimental than beneficial to democracy and democratic governments overall."
Is Artificial Intelligence a threat to democratic governance?,unknown,"7
AI has the potential to erode social trust and cause social strife in society."
Is Artificial Intelligence a threat to democratic governance?,unknown,"5
AI represents a threat to the foundational principles of democracy."
Is Artificial Intelligence a threat to democratic governance?,pro,AI can enhance the efficiency and transparency of the political decision making process.
Is Artificial Intelligence a threat to democratic governance?,unknown,"AI can mitigate biases and discrimination, helping governments treat citizens more fairly."
Should renewable energy sources replace fossil fuels?,unknown,"8
Renewable energy sources with sufficient energy storage should replace fossil fuels for grid power."
Should renewable energy sources replace fossil fuels?,unknown,"3
Fossil fuels such as coal and natural gas are finite and will run out eventually."
Should renewable energy sources replace fossil fuels?,unknown,"9
Biogas is a viable replacement for natural gas as it can be introduced into the existing gas infrastructure."
Should renewable energy sources replace fossil fuels?,pro,"5
The process of change has started."
Should renewable energy sources replace fossil fuels?,unknown,"2
There are more efficient sustainable options available that should be utilized instead of renewable energy sources."
Should renewable energy sources replace fossil fuels?,unknown,"3
Renewable energy sources have negative environmental impacts."
Should renewable energy sources replace fossil fuels?,con,"3
The economic costs of shifting to renewable energy sources are high."
Should plastic water bottles have a five-cent deposit on every bottle?,unknown,"1
Plastic water bottles should have a five-cent deposit on every bottle."
Should plastic water bottles have a five-cent deposit on every bottle?,pro,A five-cent deposit would create a disincentive for purchasing plastic products.
Should plastic water bottles have a five-cent deposit on every bottle?,pro,The funds collected could be used to address environmental problems.
Should plastic water bottles have a five-cent deposit on every bottle?,unknown,A five-cent deposit would increase the percentage of plastic bottles recycled and thus reduce plastic pollution.
Should plastic water bottles have a five-cent deposit on every bottle?,unknown,This method might not effectively tackle the actual issues of plastic pollution.
Should plastic water bottles have a five-cent deposit on every bottle?,unknown,"This policy would impose an excessive load on retailers, demanding their time and financial resources."
Should plastic water bottles have a five-cent deposit on every bottle?,con,It unfairly shifts the responsibility of covering the expenses related to environmental pollution onto consumers.
Is it ethically wrong to watch pornography?,unknown,"25
It is not ethically wrong to watch pornography."
Is it ethically wrong to watch pornography?,pro,"10
Since ethically produced porn exists, it is possible to make ethical choices about what porn you watch."
Is it ethically wrong to watch pornography?,con,Viewing pornography is ethical because the adult content industry yields significant benefits for society.
Is it ethically wrong to watch pornography?,unknown,"6
Watching porn can be harmful for the individual."
Is it ethically wrong to watch pornography?,unknown,"4
Watching pornography negatively impacts relationships and social welfare."
Should Dictatorships Receive Development Aid?,pro,"14
Democracies should only provide official development assistance (ODA) to democratic countries."
Should Dictatorships Receive Development Aid?,unknown,"11
In the absence of democratic institutions development assistance will be spent by the regimes as they see fit. Their decisions will not always be fair, legal, or in the public interest."
Should Dictatorships Receive Development Aid?,con,"7
Making assistance conditional on democratisation makes economic reform and growth in non-democratic states more likely."
Should Dictatorships Receive Development Aid?,con,"5
Tying development assistance to a free democratic basic order is the strong preference of the majority of donor countries' citizens. As they are the ones who have to fund development aid, taxpayers' opinion should be seriously taken into consideration."
Should Dictatorships Receive Development Aid?,con,Conditional development assistance works as an incentive for further democratization.
Should Dictatorships Receive Development Aid?,con,"2
Unconditional foreign assistance is vital to achieving peace and stability in non-democratic recipient states."
Should Dictatorships Receive Development Aid?,con,Tying assistance to the conditions of democratization is immoral.
Should Dictatorships Receive Development Aid?,unknown,"29
The level of democratization and the quality of governments are hard to measure accurately and in a fair way."
Should Dictatorships Receive Development Aid?,pro,"18
By making development assistance conditional on democratization, donor states run the risk of losing out on a potential source of influence over recipient states to protect important strategic interests."
Is enlightened despotism superior to democracy?,unknown,"25
Enlightened Despotism is superior to Democracy."
Is enlightened despotism superior to democracy?,unknown,"5
An enlightened despot is independent from the negative influences that plague decision-making in democracies."
Is enlightened despotism superior to democracy?,unknown,"10
The Enlightened Despot can take advantage of modern technology in ways that would be difficult for democracies to match."
Is enlightened despotism superior to democracy?,unknown,"12
Democracy is a deeply flawed system of government, in ways that Enlightened Despotism is not."
Is enlightened despotism superior to democracy?,unknown,"1
With an established ruling elite, the people of such a state need not worry about politics and can live their lives with greater freedom."
Is enlightened despotism superior to democracy?,unknown,"7
The Enlightened Despot is a single point of failure -- if anything happens to them, the government is crippled. Democracy's distributed leadership is much more resilient."
Is enlightened despotism superior to democracy?,unknown,"Enlightened Despotism risks unchecked corruption. Instead of investing absolute power in a single person, democracy distributes power to create checks and balances that can be used to combat corruption"
Is enlightened despotism superior to democracy?,unknown,"The Enlightened Despot is incapable of understanding everything that needs to be done, whereas an effective democracy reflects the needs of all the people."
Is enlightened despotism superior to democracy?,unknown,"6
Enlightened Despotism has never worked, and if history is an indicator, it never will."
Is enlightened despotism superior to democracy?,unknown,Despotism is inherently inferior to democracy due to a lack of legitimacy.
Is the Premier League Better than the Bundesliga?,unknown,"4
The Premier League (PL) is better than the Bundesliga (BL)."
Is the Premier League Better than the Bundesliga?,unknown,"1
The PL is more capable at attracting world-class players than the BL."
Is the Premier League Better than the Bundesliga?,unknown,"10
The PL is more entertaining from a competitive standpoint."
Is the Premier League Better than the Bundesliga?,unknown,"1
The PL is preferred by fans outside of Europe, for example in China."
Is the Premier League Better than the Bundesliga?,con,"The PL has a higher revenue than the BL or any other league in the world. So, from an economical perspective, it is the most successful."
Is the Premier League Better than the Bundesliga?,unknown,"The BL is more fan-friendly, attracts a bigger live audience and has a better stadium atmosphere."
Is the Premier League Better than the Bundesliga?,unknown,"7
The PL utilizes domestic talent to a lower degree than the BL."
Is the Premier League Better than the Bundesliga?,unknown,The football played in the BL is more attractive than that in the PL.
Is the Premier League Better than the Bundesliga?,con,"12
More than half of all PL clubs have majority owners born outside the UK. In the eyes of many, this makes them investment targets first - and sport clubs with a responsibility to tradition and local origin second."
Is the Premier League Better than the Bundesliga?,unknown,"2
The BL's clubs are more successful in international competitions than the PL's clubs."
Should American Football Be Banned?,unknown,"2
American football should be banned."
Should American Football Be Banned?,unknown,"1
American football is too dangerous to permit league football."
Should American Football Be Banned?,pro,"13
The organizations that promote football are exploitative."
Should American Football Be Banned?,unknown,"16
The institution of American football is socially harmful."
Should American Football Be Banned?,unknown,"5
Reforming the way football is played would be preferable to a ban."
Should American Football Be Banned?,con,American football is too economically important to ban.
Should American Football Be Banned?,unknown,"4
Football is very popular and a critical part of many communities."
Should religious practices that incorporate self-harm be banned?,unknown,"1
Religious practices that incorporate self-harm should be banned."
Should religious practices that incorporate self-harm be banned?,pro,"6
States have a duty to protect their citizens, even from themselves and religion."
Should religious practices that incorporate self-harm be banned?,unknown,There is precedent for banning harmful religious practices.
Should religious practices that incorporate self-harm be banned?,unknown,"Religious endorsement of self-harm would validate and amplify the practice, which would threaten public health."
Should religious practices that incorporate self-harm be banned?,unknown,People should be free to practise their religion as long as they do not harm others.
Should religious practices that incorporate self-harm be banned?,unknown,A ban on self-harming rituals would be heavily opposed by religious communities.
Should religious practices that incorporate self-harm be banned?,unknown,"5
Banning self-harming rituals will be ineffective."
Is the Scientific Process Objective?,pro,The scientific process is objective.
Is the Scientific Process Objective?,pro,"10
The scientific method promotes objectivity in scientific research."
Is the Scientific Process Objective?,unknown,"3
Science is based on facts, which are inherently objective (p. 1)."
Is the Scientific Process Objective?,unknown,"3
Because science arises from humans, who inherently hold subjective perspectives, it cannot be entirely objective."
Is the Scientific Process Objective?,pro,"3
Science is subject to institutional and social forces that compromise its objectivity (p. 1)."
Is OKC police officer Daniel Holtzclaw REALLY guilty of the crimes he was convicted of?,con,Daniel Holtzclaw is guilty of the crimes he was convicted for.
Is OKC police officer Daniel Holtzclaw REALLY guilty of the crimes he was convicted of?,pro,There was substantial evidence to prove that Holtzclaw was guilty of the crimes.
Is OKC police officer Daniel Holtzclaw REALLY guilty of the crimes he was convicted of?,unknown,"1
Holtzclaw did not take the stand or testify in his defense at trial. This implies he was or felt guilty."
Is OKC police officer Daniel Holtzclaw REALLY guilty of the crimes he was convicted of?,pro,"Investigative techniques used by Oklahoma City police detectives were questionable, biased and/or unprofessional."
Is OKC police officer Daniel Holtzclaw REALLY guilty of the crimes he was convicted of?,unknown,Holtzclaw has maintained that he is innocent.
Is OKC police officer Daniel Holtzclaw REALLY guilty of the crimes he was convicted of?,unknown,Daniel Holtzclaw has no history of criminal behavior or sexual deviancy that would support the claim that he is a serial sexual predator.
Is global overpopulation a myth?,unknown,"23
Global overpopulation is a myth."
Is global overpopulation a myth?,unknown,"15
There is no global overpopulation—the population is simply unevenly distributed across the planet."
Is global overpopulation a myth?,con,"8
There are possible solutions that would allow society to live sustainably without suffering the consequences of a large population."
Is global overpopulation a myth?,con,"35
Concerns about overpopulation have been greatly exaggerated, as predictions regarding the global population vary and may be unreliable."
Is global overpopulation a myth?,unknown,"18
The natural environment is undergoing a severe collapse due to human activity."
Is global overpopulation a myth?,pro,"29
The Earth's resources are finite and poorly distributed; sustaining the human population at its current growth rate is improbable."
Should higher education be publicly funded?,unknown,"29
Higher education should be publicly funded."
Should higher education be publicly funded?,con,"5
Publicly funded higher education would lead to a more well-educated population, which has social and economic benefits."
Should higher education be publicly funded?,unknown,"2
Publicly funded schooling would give equal access to education and makes for a more fair and equal society."
Should higher education be publicly funded?,unknown,"2
Higher education is increasingly necessary to find a job. As a necessity, it should be publicly funded."
Should higher education be publicly funded?,unknown,"1
Publicly funded education is less efficient and less effective that privately funded education."
Should higher education be publicly funded?,unknown,"3
Tax payers should not have to pay for someone else to go to school."
Should higher education be publicly funded?,unknown,"Free love has social benefits and it is free, no need for public funding."
Should higher education be publicly funded?,unknown,Just because low education levels have failed their education goals does not mean that kicking the can further down the road will help our children to learn what they need to.
Should higher education be publicly funded?,unknown,"Individuals are responsible for their education, no one else."
Should higher education be publicly funded?,unknown,"4
Publicly funded education at any level on creates a monopoly so that cost benefit analysis can't be done. So we wont know we have been shafted until it is too late."
Should Florida Pass HB 1 (Social Media Use for Minors)?,con,"This mandates third-party age verification for minors on social media, bans all accounts for minors younger than 16, and requires platforms to disclose content and data policies, with penalties for non-compliance."
Should Florida Pass HB 1 (Social Media Use for Minors)?,con,"For many children, bullying ends when the school day ends. Social media can allow bullying to continue 24/7 which could have a significant impact on the mental health and safety of the child/minor."
Should Florida Pass HB 1 (Social Media Use for Minors)?,unknown,Requires resources and reporting mechanisms for harmful behaviors.
Should Florida Pass HB 1 (Social Media Use for Minors)?,pro,"Social media has been proven in growing research to be significantly sticky for its behaviorally addicting mechanisms. This mandate reduces the use of social media among minors, thereby protecting them from engaging in negatively reinforcing addicting behaviors."
Should Florida Pass HB 1 (Social Media Use for Minors)?,unknown,Allows for civil penalties and legal action against non-compliant platforms.
Should Florida Pass HB 1 (Social Media Use for Minors)?,con,Mandates transparent policies on content and data usage.
Should Florida Pass HB 1 (Social Media Use for Minors)?,pro,"Prohibits account creation by under-16s, reducing exposure to harmful content."
Should Florida Pass HB 1 (Social Media Use for Minors)?,pro,"1
Enhances age verification to protect minors."
Should Florida Pass HB 1 (Social Media Use for Minors)?,unknown,"Pushes minors to spend more time doing things besides social media. Since social media is the major driver of smartphone hourly usage, this would lower their overall screen time and allow for them to spend time outside or engaging in irrefutably more beneficial activities."
Should Florida Pass HB 1 (Social Media Use for Minors)?,unknown,Always good to reduce screen time
Should Florida Pass HB 1 (Social Media Use for Minors)?,unknown,we have to be more carefull to our future generations
Should Florida Pass HB 1 (Social Media Use for Minors)?,pro,"When something disappears from people's lives, they tend to seek alternatives, which in this case are likely to be riskier and less moderated platforms or behaviors.
Click to see the pros and cons below this claim."
