topic,side,content
Should LGBTQ+ Conversion Therapy Be Banned?,con,"4
Conversion therapy can be very harmful to those who experience it."
Should LGBTQ+ Conversion Therapy Be Banned?,con,"4
Keeping conversion therapy legal enables the exploitation and marginalisation of sexual minorities."
Should LGBTQ+ Conversion Therapy Be Banned?,con,Conversion therapy can be a fulfilling experience for those who undergo it.
Should LGBTQ+ Conversion Therapy Be Banned?,con,"4
Banning conversion therapy would violate the religious freedoms of people."
Should LGBTQ+ Conversion Therapy Be Banned?,con,"6
Without conversion therapy, many conservative communities may permanently exclude LGBTQ+ people."
Should Society Normalise Men Wearing Dresses/Skirts?,pro,Normalising men wearing dresses/skirts would promote gender equality.
Should Society Normalise Men Wearing Dresses/Skirts?,con,"10
People ought to be free to wear what they want without being subjected to negative social consequences."
Should the age of consent be lowered to fourteen?,con,"4
The age of consent should be lowered to 14."
Should the age of consent be lowered to fourteen?,con,"2
A lower age of consent will more accurately reflect the reality of when teenagers become sexually active."
Should the age of consent be lowered to fourteen?,con,Lowering the age of consent would help de-stigmatize youth sexuality.
Should the age of consent be lowered to fourteen?,con,"2
There is a historical precedent and cultural support for a lower age of consent."
Should the age of consent be lowered to fourteen?,con,Lowering the age of consent would make children more vulnerable to abuse and exploitation.
Should the age of consent be lowered to fourteen?,con,"3
Lowering the age of consent could increase the spread of STIs."
Should the age of consent be lowered to fourteen?,con,Lowering the age of consent could increase the amount of unwanted teenage pregnancies.
Is the state necessary and beneficial to society?,pro,The state provides critical benefits to its citizens.
Is the state necessary and beneficial to society?,con,"The state is inherently an instrument of domination and repression, no matter who is in control of it."
"Is ""The Last Jedi"" one of the weakest Star Wars movies so far?",pro,"The progressive cultural themes (and adult level of drama) used to be secondary to a mythology/fairytale for the whole family, but The Last Jedi just threw away that fairytale heart."
"Is ""The Last Jedi"" one of the weakest Star Wars movies so far?",con,"22
The reception of The Last Jedi suggests that, although the movie is controversial, many fans and critics liked it."
"Is ""The Last Jedi"" one of the weakest Star Wars movies so far?",pro,"14
Many of the protagonists have well-written arcs and undergo interesting transformations, and the overall cast of characters is colorful."
Is Classic World of Warcraft better than Retail WoW?,con,WoW Classic is very time-consuming and tedious to play.
Is Classic World of Warcraft better than Retail WoW?,con,"3
WoW Classic's character customization abilities are much worse than Retail's.
 Unsupported
Needs con claims."
Should cosmetic surgery be banned?,pro,Allowing cosmetic surgery sends problematic messages about the need to change and improve one's appearance to meet societal expectations.
Should cosmetic surgery be banned?,con,"17
People cannot consent to cosmetic surgery, as it does not meet the legal standard of informed consent."
Should cosmetic surgery be banned?,pro,Banning cosmetic surgery would harm the progress and provision of non-cosmetic surgical procedures.
Should cosmetic surgery be banned?,con,"3
Cosmetic surgery is beneficial for the economy."
Should Turkey be part of the European Union?,con,"There are many Turks already living and working in the European Union, contributing to it economically and culturally."
Should Turkey be part of the European Union?,con,"Historically, Turkey and its predecessor states were always part of Europe culturally, politically and economically."
Should Turkey be part of the European Union?,pro,The European Union should focus on its numerous internal problems before considering any further expansion.
Should Turkey be part of the European Union?,con,Turkey is a large and populous economy. If it joined the EU there would be huge disruption to the political and economic status quo of the EU.
Should Turkey be part of the European Union?,pro,Turkey is already engaging what could be described as inappropriately blackmailing countries like Sweden and Finland regarding NATO membership. Such problems could be more severe if it was an EU member as well.
Is school bad for your mental health?,con,"6
Schools expect and encourage conformity, which can be limiting and harmful to mental health."
Is school bad for your mental health?,pro,"11
The education provided by schools equips students with skills and knowledge that set them up for better mental health in adult life."
Is school bad for your mental health?,con,"5
Schools often play a vital role in both identifying and mitigating child safeguarding concerns, which could otherwise have a disastrous effect on a child's mental health."
Is it Time for Hungary and the EU to Part Ways?,con,Hungary has consistently been at odds with the EU.
Is it Time for Hungary and the EU to Part Ways?,con,"7
Hungary would be better off economically outside the Single Market."
Is it Time for Hungary and the EU to Part Ways?,pro,"1
Without restrictions from the EU, Hungary would be free to address pressing political, social and economic problems better."
Is it Time for Hungary and the EU to Part Ways?,pro,"3
Leaving the EU would result in Hungarian people losing their EU citizenship, which provides important benefits for everyone."
Should governments fund liberal arts degrees?,pro,"27
Liberal arts graduates do not have good job prospects."
Should governments fund liberal arts degrees?,pro,"2
Government funding should only be used to produce graduates who can directly help society."
Should governments fund liberal arts degrees?,pro,"5
Liberal arts degrees provide skills that are needed in order to guide the careful development of powerful new technologies."
Is there a place for a uniform in today's education system?,con,"5
Uniforms kill creativity, dampening an essential part of the human condition."
Should Euthanasia Be Legalised?,pro,"Medical professionals have a moral obligation to save a life if possible, and should never willfully end a life."
Should Euthanasia Be Legalised?,con,"3
Its legalization will contribute to a devaluation of life."
Is cultural appropriation wrong?,pro,"28
Cultural appropriation is wrong."
Is cultural appropriation wrong?,pro,"3
Minority cultures are often exploited by the majority for profit."
Is cultural appropriation wrong?,pro,"13
Cultural appropriation often negatively influences people's perceptions of minorities."
Is cultural appropriation wrong?,pro,"17
People belonging to the appropriated culture consider it wrong."
Is cultural appropriation wrong?,pro,"19
Telling people how they can look and behave violates their freedom to express themselves however they choose, provided they do no harm."
Should the European Union intervene in the political conflict in Catalonia?,con,"1
The European Union should intervene in the political conflict in Catalonia."
Should the European Union intervene in the political conflict in Catalonia?,pro,The European Union has a responsibility to promote cooperation and dispute resolution.
Should the European Union intervene in the political conflict in Catalonia?,pro,"3
Catalonia's autonomy must be protected to avoid similar repression by any member state government."
Should the European Union intervene in the political conflict in Catalonia?,con,Catalonia is a key contributor to the European economy. Europe must act to avoid instability in the region.
Should the European Union intervene in the political conflict in Catalonia?,pro,It is against EU's interest to promote separatism.
Should the European Union intervene in the political conflict in Catalonia?,pro,"Catalans (and the rest of Spain) are pro EU already, so it seems Catalans are happy with the current support the EU gives."
Should Israel Remain Democratic Even If that Would Ultimately Lead to it No Longer Being a Jewish State?,pro,"3
Israel must choose to reject democracy in order to protect its Jewish population."
Should Israel Remain Democratic Even If that Would Ultimately Lead to it No Longer Being a Jewish State?,pro,"9
Israel must remain democratic to protect its minorities, especially the Arab Israeli minority."
Should Israel Remain Democratic Even If that Would Ultimately Lead to it No Longer Being a Jewish State?,pro,Israel choosing to be Jewish would destroy the Palestinian peace process.
Should Cinco de Mayo be celebrated in the US?,con,The continued celebration of this holiday distorts Mexican history.
Should Cinco de Mayo be celebrated in the US?,pro,"7
Many businesses in America use Cinco de Mayo as a way to profit off of Mexican culture."
Should North African countries be allowed to be part of the EU?,con,Areas outside of what is traditionally considered Europe have been allowed to join the EU before.
Should North African countries be allowed to be part of the EU?,pro,"1
There are already many North Africans moving into Europe. EU could lose control over the migration process with open borders."
Should North African countries be allowed to be part of the EU?,con,"3
The modus operandi in which Northern African countries rule their economy, government, and society would just not work or fit in the European way."
Should Law and Morality be Related?,con,"16
The law and morality are inherently connected."
Should Law and Morality be Related?,con,No law could encompass every moral consideration or personal code of ethics.
Should Law and Morality be Related?,pro,The law should prohibit conduct which is considered to harm the greater good of society - regardless of whether the conduct is moral or not.
Should Law and Morality be Related?,con,"8
The law has no inherent relationship with metaphysical concepts (e.g., morality, truth or justice)."
Should we Have a 100% Inheritance Tax?,con,A 100% inheritance tax on inherited wealth above €1 million would be beneficial from a macroeconomic perspective.
Should we Have a 100% Inheritance Tax?,pro,"7
A 100% inheritance tax on all inherited wealth above 1 million euros undermines property rights."
Should we abolish political parties in the USA?,pro,"2
We don't need to end political parties in the USA, but really getting other parties supported and into offices. By doing so, we could get a system where compromise will actually happen for the betterment of all of the people of the country."
Should we abolish political parties in the USA?,pro,"1
Our problems are the hidden party that government serves today. It serves the capitalists and the oligarchs. In that, both parties are united. If government is to serve all of the people, there needs to be less differences between the classes."
Should begging for money be illegal?,pro,"3
Enforcing a ban against begging is likely to provoke cruelty."
Should the Oxford-AstraZeneca Vaccine Rollout Have Been Universally Suspended?,pro,"3
Significant, undocumented vaccination side-effects for COVID-19 erodes the public trust in vaccination programmes entirely; better to temporarily suspend than lose public trust."
Should the Oxford-AstraZeneca Vaccine Rollout Have Been Universally Suspended?,pro,"It is unethical to promote any healthcare intervention that has not been rigorously tested, as it undermines the patient's right to informed consent."
Should the Oxford-AstraZeneca Vaccine Rollout Have Been Universally Suspended?,pro,"Without a burden of proof, vaccine rollout should not be suspended. Correlation does not imply causation."
Is Cancel Culture Beneficial to Society?,pro,Cancel culture fosters awareness and promotes positive values.
Is the European Union the greatest political peace accomplishment in modern History?,con,"3
The economic & political construction of the EU still allows inequalities and social struggles inside its borders, which leads to non-physical violence."
Is the European Union the greatest political peace accomplishment in modern History?,con,"1
What I think as european cititzen is that EU is an oligarchy where Germany and France can make economic war againt other european states as seen in the Greek crisis (Greece was and still is a broken state)"
Should the United States have more than two major political parties?,con,"7
More parties would prevent either legislative chamber from being fully controlled by a single party."
Should the United States have more than two major political parties?,pro,Multi-party systems produce coalition governments; these are less efficient in their decision-making.
Should conscientious objection to abortion be banned?,con,"1
Conscientious objection to abortion should be banned"
Should conscientious objection to abortion be banned?,pro,Personal beliefs have no place in the medical profession.
Should conscientious objection to abortion be banned?,con,"11
Conscientious objection endangers the lives and health of women."
Should conscientious objection to abortion be banned?,con,Conscientious objection is discriminatory and undermines women's rights.
Should conscientious objection to abortion be banned?,con,"5
Legalizing conscientious objection undermines the rule of law."
Should conscientious objection to abortion be banned?,con,"11
Laws permitting conscientious objection are discriminatory in favour of Christianity and against other religions."
Should conscientious objection to abortion be banned?,pro,"12
Performing abortions is only one element of medicine. People should be able to choose to specialise without being forced to perform this particular procedure."
Should conscientious objection to abortion be banned?,con,"7
Banning conscientious objection would violate medical staff's freedom of religion."
Should conscientious objection to abortion be banned?,pro,"2
Such a policy would be counterproductive and hurt the women it aims to protect."
Should conscientious objection to abortion be banned?,pro,Abortion is unethical and it is perfectly legitimate for medical staff to refuse to perform an unethical medical procedure.
Is capitalism good?,pro,"12
Capitalism incentivizes productivity among workers."
Is capitalism good?,pro,"10
Capitalism has enabled unprecedented improvements in living standards."
Is capitalism good?,pro,"9
Capitalism promotes unregulated market forces which leads to more efficient production, compared to regulated or planned economies."
Is capitalism good?,pro,"14
Capitalism promotes meritocracy, which is a beneficial outcome."
Is capitalism good?,pro,"9
Capitalism promotes equality."
Is capitalism good?,pro,"11
Capitalism explicitly prioritizes profits over the wellbeing of others, as the wellbeing of others can be incompatible with maximizing profits. Hence, capitalism will inevitably come at the expense of human wellbeing, which is unethical."
Is capitalism good?,pro,"15
Capitalism violates the human rights for social protection and an adequate standard of living, since the causes of poverty and hunger are tied to globalized capitalism."
Is capitalism good?,con,"11
Capitalism leads to imperialism, which has resulted in devastating consequences for countries."
Should it be okay to publicly approach strangers for sex?,pro,"93
It should be okay to publicly approach strangers for consensual sex."
Should it be okay to publicly approach strangers for sex?,pro,"2
Approaching a stranger in public for consensual sex has a range of potential benefits."
Should it be okay to publicly approach strangers for sex?,pro,"38
Individuals are free to act as they wish, provided they do no harm."
Should it be okay to publicly approach strangers for sex?,pro,Approaching strangers for consensual sex in public may be harmful or dangerous.
Is citizen science beneficial to science?,pro,Citizen science promotes scientific progress.
Is Hamlet Mad?,con,"7
Hamlet exhibits symptoms that are consistent with diagnosable mental disorders."
Is Hamlet Mad?,con,"The degree to which Hamlet is portrayed or viewed as mad varies greatly depending on the broader social, political, and intellectual context in which it is appraised or performed."
Should US internet platforms be able to remove or demote speech by elected public figures?,pro,"7
Internet platforms in the US should not prohibit or demote any speech by elected officials."
Should US internet platforms be able to remove or demote speech by elected public figures?,con,Elected public figures are trusted by the general populace - it is not the place of an internet platform to go against public consensus.
Should US internet platforms be able to remove or demote speech by elected public figures?,con,The removal or flagging of elected officials' speech constitutes a First Amendment violation.
Is Narendra Modi good for India?,pro,"7
PM Modi has improved India's infrastructure."
Is Narendra Modi good for India?,con,"3
Under PM Modi's leadership, the Indian economy has flourished."
Is Narendra Modi good for India?,pro,"14
PM Modi has improved Indians' quality of life."
Is AI art theft?,pro,"1
Even if AI is not directly stealing from creators content, it steals from their presence and thus also potential clients.
Click to see the pros and cons below this claim."
Is AI art theft?,con,These services in particular are making bank from user subscriptions. Some of that should go to the artists who—willingly or unwillingly—contributed to the model.
Is AI art theft?,pro,"If an artist’s name, unique title of a work, or other reference were used in a prompt, it is building directly on the artist’s work, and not compensating them."
Is AI art theft?,con,"3
Artists are not compensated for their contributions."
Is AI art theft?,con,"3
Many of these datasets use content that was not explicitly permitted to be used to train the AI."
Is AI art theft?,con,"7
The term ‘theft’ can be misleadingly concrete in this assertion, which in turn can make it seem easy to dismiss. A thorough examination would dismiss a concrete interpretation in favor of an abstract one, in which the act must be examined ethically."
Is AI art theft?,pro,"“Theft” does a lot of heavy lifting as it implies not just the duplication of a product, but for the purpose of enjoying said product without having to pay the creator. A pirated movie is a potential lost sale. Training an AI does duplicate the product, but said product is effectively disassembled for parts so the AI can learn; inside the AI system, the work is no longer there, but is part of the amalgam of collected data."
Is AI art theft?,pro,"Art produced by AI is, thus far, derivative and deconstructed, both of which are protected and neither require any compensation on the part of the owners of the original work; e.g. Andy Warhol doesn’t owe Campbell’s anything just because he painted their soup can."
Is AI art theft?,pro,The operator of AI creation tools adds their own creativity by writing the prompt. This adds sufficiently 'new' things to the work to be considered original.
Should Trump be impeached and removed from office?,con,"13
Allowing Trump's alleged misconduct to continue without consequences sets a dangerously poor precedent for future leaders of the country."
Should Trump be impeached and removed from office?,con,"16
Trump has tried to take actions that are unconstitutional. For this, he should be impeached."
Should Trump be impeached and removed from office?,pro,"1
Trump becoming impeached could cause more uproar than it is probably worth. It could simply be left up to the people again to decide if he should be in office or not at the next elections."
Should Trump be impeached and removed from office?,con,"Absolutely not!Predident Trump has comiited no crime and is a victim of unjustified attacks and accusations by corrupt individuals in Congress, the judiciary and the media."
Should nuclear energy replace fossil fuels?,pro,"14
Nuclear energy is usually powered by uranium, a nonrenewable source of energy, which is inherently unsustainable.
 Unsupported
tried to merge the pro into this claim but there is very little evidence to suggest uranium would run out during humans' time on earth...would be good to look at what we could do here.
Show more"
Should Obligatory Community/Military Service Be Introduced?,pro,"9
Performing community/military service provides benefits for the individuals who participate."
Should churches pay tax?,pro,"2
Giving churches an automatic tax break could be viewed as the state supporting religion, which is inappropriate."
Should churches pay tax?,pro,"23
Churches are often politically active and thus don't deserve tax-exempt status, which is accorded to non-politically active non-profits."
Should churches pay tax?,pro,"1
Religions generally approve of paying taxes."
Is Star Citizen a scam?,pro,The scope of the project keeps growing so that more money can be raised without ever releasing a finished product.
Is Star Citizen a scam?,pro,There is evidence that CIG is likely to release a product at some point.
Is Pornography Art?,pro,Art is the use of creativity to produce something that is both expressive and aesthetically pleasing. Porn does just this.
Is Pornography Art?,pro,"2
Pornography is a multi-billion dollar industry which does not aim at generating beauty or art, but profit."
Should (compulsory) school education focus on science rather than humanities?,pro,"6
There is no human progress without science. For its purpose, science explains the way the natural world behaves. The more knowledgeable you are about science, the more creative you become, the more you'll contribute to humanity."
Should (compulsory) school education focus on science rather than humanities?,con,"3
Science is the backbone of our society and we need many people that care conversant in its many aspects."
Should (compulsory) school education focus on science rather than humanities?,con,The idea of science and humanities as separate complete concepts is now recognized as a false dichotomy. Thus it would be irresponsible for educators to continue perpetuating this by focusing on 'one over the other'.
Should life skills be taught in K12 school?,pro,"6
Teaching life skills in school will improve student attitudes to learning."
Should private schools be banned?,pro,"1
Public education is likely to improve in a world without private schools."
Should private schools be banned?,con,Private schools are good for the economy.
Should public nudity be legal?,pro,"21
Public nudity is a valid and popular form of self-expression and thus should be recognized and protected by law."
Should public nudity be legal?,pro,"The normalization of public nudity would provide a variety of social benefits. To achieve this normalization, public nudity must be legalized."
Is Fine Tuning Good Evidence for a Creator?,con,Many physical constants appear finely tuned for scientific discovery.
Is Fine Tuning Good Evidence for a Creator?,con,"1
Many physical constants appear finely tuned to permit life."
Is Fine Tuning Good Evidence for a Creator?,pro,"Just because an event is highly unlikely to occur due to chance, that does not mean the outcome was probably not due to chance."
Is Fine Tuning Good Evidence for a Creator?,con,"Ryan Stringer's ""divine pruning argument"" defeats the fine tuning argument because it uses the same logic to arrive at the opposite conclusion."
Is Fine Tuning Good Evidence for a Creator?,con,"4
We cannot infer that most combinations of physical laws and constants would be incapable of supporting life."
Is Fine Tuning Good Evidence for a Creator?,pro,"If God finely tuned the universe, he would have to be finely tuned too. Thus, God doesn't help solve the problem."
Should the Electoral College be abolished?,pro,"4
The Electoral College reduces the probability that electoral mechanisms fail."
Should fracking be banned?,pro,"12
Fracking is known to cause health problems in the areas surrounding the drill sites."
Should fracking be banned?,con,"18
Fracking makes economic sense."
Should fracking be banned?,pro,"5
Fracking at home reduces the dependence on overseas producers of oil and gas."
Should fracking be banned?,pro,"9
An outright ban would rule out any potential future improved system that might be safe for the environment."
Should fracking be banned?,con,"2
All sources of Oil and Gas have some environmental consequences and risks: from blowouts that can affect a whole coastline to pipeline leaks that affect a previously unspoiled locality. For as long as we continue to need these resources the Government has a responsibility to tightly regulate 'all' sources of them to achieve near-zero risk. The cost consequences would be more tightly focused than any blanket ban."
Should the US Recognize Palestine as a State?,con,"27
The US should not support the two-state solution, which is concomitant with recognizing Palestine as a state, as it is not the best outcome for the region."
Should the United States close Guantanamo Bay?,con,Guantanamo Bay's continued use is unethical.
Should the United States close Guantanamo Bay?,pro,Closing Guantanamo Bay will improve American diplomatic relations.
Should homework be mandatory?,con,Homework perpetuates inequalities by penalizing students who don't live in an environment conducive for doing homework.
Should The Date of Australia Day Be Changed?,pro,"1
The indigenous people have many greater problems to solve that are more important than symbolism."
Should The Date of Australia Day Be Changed?,pro,"2
Changing the date of Australia Day would lessen the impact and visibility of Invasion Day protests. The uglier aspects of Australia's origin belong as part of the National Holiday."
Should all children be taught to code in school?,pro,"1
Coding has become an important skill to contribute to society through volunteering, non-profits, civics, and so on by building or improving public interest and open source technologies."
Is it ethical to design and build weapons of war?,con,Weapons are necessary to deter conflict.
Should Infants be Baptized?,pro,"Baptism should only be given to people who repent and profess faith in Jesus Christ, which excludes infants."
Should Countries Taking In Refugees Confiscate their Valuables?,con,"32
Countries that accept refugees must confiscate their valuables worth more than €10,000."
Should Countries Taking In Refugees Confiscate their Valuables?,con,"3
Confiscating their valuables would show that refugees have something to give in return, which would be good for their reputation."
Should Countries Taking In Refugees Confiscate their Valuables?,con,"8
Confiscating refugees’ valuables is a good method to make sure that they contribute fairly to the social services they will access in the country they take refuge in."
Should Countries Taking In Refugees Confiscate their Valuables?,con,"4
Confiscating refugees' valuables would work as deterrence and help keep refugees out."
Should Countries Taking In Refugees Confiscate their Valuables?,pro,"3
One of the main duties of a modern democratic state is to provide and protect the right of property. Confiscating the private property of refugees violates that important human right."
Should Countries Taking In Refugees Confiscate their Valuables?,con,"3
Confiscating refugee valuables can harm a country by giving them a negative international reputation."
Should The Catholic Church Publicly Elect Its Leaders?,pro,The values of the Church are outdated. Having public elections would likely make the Church become more progressive and catch up with contemporary societal values.
Should transgender personae only be performed by transgender people?,pro,It is counterproductive for transgender people's acceptance in society.
Should transgender personae only be performed by transgender people?,pro,"It forces actors to define their identity, which can lead to the actors outing themselves. I.e. an actor perceived as cis may have to come out as trans to respond to protests for them playing the role, even if this was not public knowledge."
Should transgender personae only be performed by transgender people?,pro,"3
It's conceivable that there could be sensitive and appropriate ways to allow cis people to play transgender characters rather than completely excluding the possibility."
Should STEM Degrees Be Free?,con,"1
STEM graduates are economically good investments for society."
Should STEM Degrees Be Free?,pro,Having more STEM graduates will boost humanity's scientific and technological progress.
Should the United Kingdom Ban the Burqa and Niqab?,con,"16
When a religion uses deadly violence and forces that religion onto other people, it should not be considered a religion anymore and should therefore lose the rights associated with it. It becomes a threat to life."
Should the United Kingdom Ban the Burqa and Niqab?,con,"1
A tolerant society rather then a ban is more attractive to young people then a society which tries to control them by telling what to wear."
Is Elon Musk's takeover of Twitter good for the public?,con,Takeover of media outlets by billionaires is never a good thing due to the structure of control even with the best intentions and expertise.
Is Elon Musk's takeover of Twitter good for the public?,con,"1
Many users are leaving the platform after and due to various activities and decisions by Musk, including users with large audience and/or contributing particularly valuable content such as academics."
Should children own a smartphone?,pro,"Children might encounter inappropriate content they are not prepared to deal with, like pornography, violence and extremist ideologies."
Should children own a smartphone?,con,"1
Children owning smartphones benefits the global economy."
Is Daenerys Targaryen the Prince/Princess that was Promised?,pro,"3
Daenerys Targaryen is the Prince/Princess that was Promised."
Is Daenerys Targaryen the Prince/Princess that was Promised?,pro,"The prophecy describes the Prince as the one to ""wake dragons out of stone""."
Is Daenerys Targaryen the Prince/Princess that was Promised?,pro,"According to the prophecy, the Prince would be born out of ""salt and smoke""."
Is Daenerys Targaryen the Prince/Princess that was Promised?,pro,"8
The prophecy mentions that the Prince would be born ""when the red star bleeds and the darkness gathers""."
Is Daenerys Targaryen the Prince/Princess that was Promised?,pro,"27
The woods witch, in a separate prophecy, mentions that the Prince would be born from the bloodline of Rhaella and Aerys II Targaryen."
Is Daenerys Targaryen the Prince/Princess that was Promised?,pro,The Prince that was Promised could be the 'three headed dragon' rather than Daenerys herself.
Is Daenerys Targaryen the Prince/Princess that was Promised?,pro,"1
The prophecy describes the Prince as forging and wielding a flaming weapon: the Lightbringer. Daenerys does not wield a weapon."
Is Daenerys Targaryen the Prince/Princess that was Promised?,pro,"3
In Daenerys' vision Rhaegar Targaryen describes the story of the Prince that was Promised as ""The Song of Ice and Fire"". This does not fit Daenerys."
Is Daenerys Targaryen the Prince/Princess that was Promised?,pro,"16
There is no reason to believe that the prophecy of the Prince that was Promised is anything more than a myth."
Should Ex-Convicts Be Prioritised In The Job Market?,con,"5
Ex-convicts should be prioritised in the job market."
Should Ex-Convicts Be Prioritised In The Job Market?,con,Prioritising ex-convicts in employment will help to reintegrate them into society.
Should Ex-Convicts Be Prioritised In The Job Market?,con,Increasing job accessibility for ex-convicts will positively impact the labour market.
Should Ex-Convicts Be Prioritised In The Job Market?,con,"Without intervention, ex-convicts will remain at a disadvantage compared to regular citizens."
Should Ex-Convicts Be Prioritised In The Job Market?,con,Prioritising ex-convicts in the job market would be unfair to law-abiding citizens.
Should Individuals Be Allowed Paid Period Leave?,pro,"1
Period leave policies already exist in some countries and are proven to work. Therefore, implementing such policies in countries and companies which lack them should not be difficult as there are plenty of working models to choose from."
Should Individuals Be Allowed Paid Period Leave?,pro,Fewer women would be employed due to the additional expense imposed upon employers by this provision.
Should the UK Remain in the EU if the only Alternative is a Hard Brexit?,con,"10
A hard Brexit will significantly damage the UK economy."
Should the UK Remain in the EU if the only Alternative is a Hard Brexit?,con,"9
The UK should be able to control and limit its immigration policy as it sees fit."
Should the EU have its own army?,con,"9
The European Union should create a centrally controlled army in addition to the armies of member states."
Should the EU have its own army?,con,"5
A centrally controlled army would increase the EU's ability to defend itself and its allies."
Should the EU have its own army?,con,"2
An EU army would be economically beneficial for the EU."
Should students be allowed to use generative AI for assignments?,pro,"Allowing students to use genAI on assignments could enable students to waste less time on soon-to-be automated tasks and more time learning and practicing next-generation skills (such as fact-checking, logic-checking, and prompting genAI tools to produce better human-AI outputs)."
Should students be allowed to use generative AI for assignments?,pro,AI assistants may provide information that discourages its user from more comprehensive evaluation of a topic.
Should students be allowed to use generative AI for assignments?,pro,"Generative LLMs can undermine students' grades by producing false or misleading outputs (such as citations of papers that do not exist), including plain ""hallucinations"", which would yield low-quality results. Students could get educated on pitfalls of using genAIs, and their use could be discouraged (but not prohibited)."
Should the US have withdrawn from NAFTA?,pro,"8
NAFTA has increased the US' trade deficit, harming American prosperity and sustainability."
Should the US have withdrawn from NAFTA?,con,"8
NAFTA has led to an increase in immigrants in the US, hurting the American economy."
Should the US have withdrawn from NAFTA?,con,Withdrawing from NAFTA would have been harmful to the US economy.
Is Cloning Animals Ethical?,pro,"6
Cloning animals can provide a way for beloved family pets to live on."
Is Cloning Animals Ethical?,con,"6
It is unethical to clone animals when we have incomplete knowledge of its potential harmful consequences."
Is Cloning Animals Ethical?,con,"1
Animals cannot consent to being cloned."
Should Felons be Allowed to Vote?,con,"22
Convicted felons in the United States (that is: sentenced of a crime punishable with at least one year in prison or death) should permanently lose their voting rights."
Should Felons be Allowed to Vote?,pro,"18
Having violated the laws of society, a felon should not be part of the process through which society governs itself."
Should Felons be Allowed to Vote?,con,"14
Removing voting rights for convicted felons reduces crime rates."
Should Felons be Allowed to Vote?,pro,"3
The practice of felony disenfranchisement has its roots in America’s history of racism, and it continues to disproportionately impact people of color."
Should Florida Pass SB 1364 (Everglades Protection Area)?,pro,"Passing SB 1364 represents a significant commitment to environmental stewardship. It aligns with best practices in conservation and sets a precedent for responsible management of natural resources. The bill reflects Florida’s dedication to protecting its natural heritage and ensuring a sustainable future. Supporting SB 1364 is not just about preserving a wetland; it’s about affirming Florida’s role as a leader in environmental protection and sustainable development
Click to see the pros and cons below this claim."
Should Florida Pass SB 1364 (Everglades Protection Area)?,pro,Provides a clear process for challenging amendments.
Should Florida Pass SB 1364 (Everglades Protection Area)?,con,Encourages the construction of affordable housing.
Should Florida Pass SB 1364 (Everglades Protection Area)?,pro,Simplifies administrative process for small-scale development.
Should Florida Pass SB 1364 (Everglades Protection Area)?,con,May have unintended consequences in specific areas such as the Everglades.
Should an artificial general intelligence be created?,pro,AGI should be created because it can solve technocratic problems better than humans can.
Should an artificial general intelligence be created?,con,"5
It is immoral to create and control sentient life."
"Is Christian Domestic Discipline right, and is it what the Bible really suggests?",con,CDD is a lifestyle choice between consenting adults.
"Is Christian Domestic Discipline right, and is it what the Bible really suggests?",pro,CDD can produce positive effects in a relationship.
Should Psychiatrists Be Allowed to Diagnose Trump?,con,"4
The Goldwater rule unnecessarily silences psychiatrists and restricts their freedom of speech and ability to contribute to public discussion of mental health."
Should Psychiatrists Be Allowed to Diagnose Trump?,pro,Simply observing Trump in his public capacity does not give any psychiatrist enough information to make a proper evaluation; most diagnoses would be inaccurate as they would rely on incomplete information.
Should Psychiatrists Be Allowed to Diagnose Trump?,con,"If psychiatrists end up giving various different diagnoses of Trump's mental health, or disagreeing on whether he is actually mentally ill or not, public confidence in the institution of psychiatry will be undermined."
Should Psychiatrists Be Allowed to Diagnose Trump?,con,"Nobody, including Trump, should be diagnosed without their consent."
Should Children Learn About Gender Identity And Sexual Orientation In School?,con,"17
Teaching topics on gender and sexuality would require teachers to learn things that they may not have otherwise considered. This can make them more knowledgeable and compassionate educators."
Should Children Learn About Gender Identity And Sexual Orientation In School?,con,"2
Learning about gender identity and sexual orientation will create an environment more conducive to healthy adolescent development."
Should Inheritance be Abolished?,pro,"2
In a free market, it should be the owner's right to choose where their money and properties go when they die."
Should Inheritance be Abolished?,con,"5
Abolishing inheritance would disincentivize the creation of wealth, as any wealth they create will be confiscated rather than being passed down."
Should Ukraine become a member of NATO?,pro,"9
Russia has claimed that the West broke a promise it made in the 1990s not to expand NATO."
"Should the US remove Confederate memorials, flags, and monuments from public spaces?",con,"11
The US should remove Confederate memorials, flags, and monuments from public spaces."
"Should the US remove Confederate memorials, flags, and monuments from public spaces?",pro,"5
The statues can be kept without glorifying what they once stood for. They can be kept in museums with proper historical context rather than on a plinth to be admired."
"Should the US remove Confederate memorials, flags, and monuments from public spaces?",con,"25
The principal legacy of Confederate statues is white supremacy and slavery. Since this fundamentally conflicts with American values and ideas, they should be removed."
"Should the US remove Confederate memorials, flags, and monuments from public spaces?",con,"10
The Confederates committed treason against the United States. The United States should not continue to honor or memorialize them."
"Should the US remove Confederate memorials, flags, and monuments from public spaces?",con,"2
It is too divisive in modern day America to continue to display these monuments from a painful part of American history."
"Should the US remove Confederate memorials, flags, and monuments from public spaces?",con,"7
The power to take down statues also is the power to control history and thus, to control the future."
"Should the US remove Confederate memorials, flags, and monuments from public spaces?",pro,"3
Removing or renaming Confederate memorials/monuments presents a slippery slope wherein eventually any memorial linked to the colonial era or other problematic legacies could be considered representative of oppression, and thus deserving of eradication."
